Vardas             Pavarde          ND1  ND2  ND3  ND4  Egz. 
Vardas1            Pavarde1         5    10   7    0    3    
Vardas2            Pavarde2         2    1    10   7    2    
Vardas3            Pavarde3         2    6    9    2    7    
Vardas4            Pavarde4         6    10   4    8    8    
Vardas5            Pavarde5         9    3    0    8    6    
Vardas6            Pavarde6         10   6    10   8    1    
Vardas7            Pavarde7         3    9    4    2    10   
Vardas8            Pavarde8         10   3    7    10   9    
Vardas9            Pavarde9         5    9    10   0    8    
Vardas10           Pavarde10        1    6    9    6    4    
Vardas11           Pavarde11        0    2    7    2    1    
Vardas12           Pavarde12        10   2    4    8    3    
Vardas13           Pavarde13        8    10   7    2    1    
Vardas14           Pavarde14        1    4    10   9    7    
Vardas15           Pavarde15        6    3    3    0    5    
Vardas16           Pavarde16        3    8    10   1    8    
Vardas17           Pavarde17        6    6    6    10   8    
Vardas18           Pavarde18        10   9    5    9    4    
Vardas19           Pavarde19        6    8    10   8    9    
Vardas20           Pavarde20        10   3    3    1    10   
Vardas21           Pavarde21        1    6    9    1    5    
Vardas22           Pavarde22        1    1    10   10   3    
Vardas23           Pavarde23        10   5    1    8    4    
Vardas24           Pavarde24        6    5    8    0    6    
Vardas25           Pavarde25        9    8    9    4    5    
Vardas26           Pavarde26        6    1    7    3    10   
Vardas27           Pavarde27        2    10   6    0    8    
Vardas28           Pavarde28        9    1    6    2    10   
Vardas29           Pavarde29        9    3    3    5    7    
Vardas30           Pavarde30        7    3    2    1    9    
Vardas31           Pavarde31        6    5    1    5    9    
Vardas32           Pavarde32        2    5    6    1    3    
Vardas33           Pavarde33        1    4    6    3    8    
Vardas34           Pavarde34        0    10   5    0    8    
Vardas35           Pavarde35        9    10   4    5    9    
Vardas36           Pavarde36        0    7    9    0    4    
Vardas37           Pavarde37        6    8    2    5    4    
Vardas38           Pavarde38        0    4    6    1    4    
Vardas39           Pavarde39        10   8    5    1    5    
Vardas40           Pavarde40        0    4    10   3    7    
Vardas41           Pavarde41        9    5    7    3    6    
Vardas42           Pavarde42        6    8    8    3    7    
Vardas43           Pavarde43        2    5    6    5    9    
Vardas44           Pavarde44        10   1    1    8    6    
Vardas45           Pavarde45        3    10   4    3    9    
Vardas46           Pavarde46        8    6    6    8    3    
Vardas47           Pavarde47        7    8    8    10   5    
Vardas48           Pavarde48        8    5    6    6    4    
Vardas49           Pavarde49        3    6    8    4    5    
Vardas50           Pavarde50        5    1    7    4    9    
Vardas51           Pavarde51        4    9    7    6    5    
Vardas52           Pavarde52        0    5    3    0    2    
Vardas53           Pavarde53        8    3    6    4    9    
Vardas54           Pavarde54        7    9    9    6    1    
Vardas55           Pavarde55        5    6    3    6    1    
Vardas56           Pavarde56        7    4    4    7    0    
Vardas57           Pavarde57        10   7    9    8    4    
Vardas58           Pavarde58        10   8    2    2    9    
Vardas59           Pavarde59        6    9    1    10   9    
Vardas60           Pavarde60        4    8    5    4    5    
Vardas61           Pavarde61        7    10   10   1    5    
Vardas62           Pavarde62        7    3    0    1    2    
Vardas63           Pavarde63        3    10   6    5    4    
Vardas64           Pavarde64        0    5    1    2    2    
Vardas65           Pavarde65        7    2    4    5    4    
Vardas66           Pavarde66        4    0    2    10   8    
Vardas67           Pavarde67        9    4    4    2    2    
Vardas68           Pavarde68        1    10   6    5    5    
Vardas69           Pavarde69        4    5    6    1    5    
Vardas70           Pavarde70        0    4    10   7    2    
Vardas71           Pavarde71        6    6    2    0    10   
Vardas72           Pavarde72        3    6    3    9    9    
Vardas73           Pavarde73        6    9    9    8    9    
Vardas74           Pavarde74        4    4    3    2    9    
Vardas75           Pavarde75        5    1    0    7    1    
Vardas76           Pavarde76        4    6    3    4    8    
Vardas77           Pavarde77        4    1    5    9    0    
Vardas78           Pavarde78        0    4    8    7    2    
Vardas79           Pavarde79        9    5    4    9    9    
Vardas80           Pavarde80        4    6    5    9    1    
Vardas81           Pavarde81        10   2    9    10   5    
Vardas82           Pavarde82        9    6    10   7    9    
Vardas83           Pavarde83        3    10   9    8    9    
Vardas84           Pavarde84        6    7    6    3    1    
Vardas85           Pavarde85        2    10   7    9    2    
Vardas86           Pavarde86        7    5    9    9    6    
Vardas87           Pavarde87        7    5    0    9    1    
Vardas88           Pavarde88        1    1    6    5    9    
Vardas89           Pavarde89        2    9    8    9    10   
Vardas90           Pavarde90        4    0    7    8    10   
Vardas91           Pavarde91        7    0    5    3    8    
Vardas92           Pavarde92        3    0    3    0    9    
Vardas93           Pavarde93        4    1    0    7    5    
Vardas94           Pavarde94        10   7    8    7    5    
Vardas95           Pavarde95        2    2    3    8    7    
Vardas96           Pavarde96        0    1    10   10   9    
Vardas97           Pavarde97        6    0    10   8    5    
Vardas98           Pavarde98        0    7    0    2    3    
Vardas99           Pavarde99        3    3    3    1    1    
Vardas100          Pavarde100       3    10   4    2    7    
Vardas101          Pavarde101       10   7    3    3    0    
Vardas102          Pavarde102       7    6    1    10   2    
Vardas103          Pavarde103       0    1    10   10   0    
Vardas104          Pavarde104       3    2    8    8    3    
Vardas105          Pavarde105       3    3    3    1    8    
Vardas106          Pavarde106       8    10   9    5    3    
Vardas107          Pavarde107       8    9    0    6    4    
Vardas108          Pavarde108       8    8    4    3    0    
Vardas109          Pavarde109       2    8    9    5    7    
Vardas110          Pavarde110       6    3    1    6    5    
Vardas111          Pavarde111       7    6    9    6    9    
Vardas112          Pavarde112       2    1    5    6    7    
Vardas113          Pavarde113       4    2    1    1    4    
Vardas114          Pavarde114       1    8    7    9    9    
Vardas115          Pavarde115       3    3    9    3    1    
Vardas116          Pavarde116       1    9    2    8    4    
Vardas117          Pavarde117       5    8    6    5    9    
Vardas118          Pavarde118       3    0    10   0    4    
Vardas119          Pavarde119       1    7    1    7    4    
Vardas120          Pavarde120       0    4    2    9    10   
Vardas121          Pavarde121       4    6    4    0    1    
Vardas122          Pavarde122       10   1    1    9    7    
Vardas123          Pavarde123       8    7    2    3    1    
Vardas124          Pavarde124       5    4    8    5    4    
Vardas125          Pavarde125       2    6    4    4    3    
Vardas126          Pavarde126       0    1    5    10   3    
Vardas127          Pavarde127       9    0    2    0    9    
