Vardas             Pavarde          ND1  ND2  ND3  ND4  ND5  Egz. 
Vardas1            Pavarde1         2    5    0    2    5    3    
Vardas2            Pavarde2         4    2    7    9    0    0    
Vardas3            Pavarde3         6    5    6    9    1    9    
Vardas4            Pavarde4         10   6    0    6    7    1    
Vardas5            Pavarde5         0    8    3    1    9    0    
Vardas6            Pavarde6         7    4    0    9    4    2    
Vardas7            Pavarde7         6    9    3    0    2    3    
Vardas8            Pavarde8         9    9    4    5    10   0    
Vardas9            Pavarde9         8    7    2    1    8    8    
Vardas10           Pavarde10        9    6    7    0    7    2    
Vardas11           Pavarde11        5    5    8    10   3    8    
Vardas12           Pavarde12        0    1    5    2    10   6    
Vardas13           Pavarde13        4    5    5    0    0    0    
Vardas14           Pavarde14        8    9    2    8    0    2    
Vardas15           Pavarde15        5    3    5    5    1    7    
Vardas16           Pavarde16        1    3    9    10   1    4    
Vardas17           Pavarde17        10   4    8    0    2    5    
Vardas18           Pavarde18        5    5    8    2    5    8    
Vardas19           Pavarde19        7    7    4    7    4    2    
Vardas20           Pavarde20        3    4    5    7    8    2    
Vardas21           Pavarde21        9    1    6    8    7    9    
Vardas22           Pavarde22        7    3    2    0    8    5    
Vardas23           Pavarde23        2    9    9    5    7    8    
Vardas24           Pavarde24        5    4    7    6    8    10   
Vardas25           Pavarde25        2    0    2    1    8    8    
Vardas26           Pavarde26        5    5    8    5    7    1    
Vardas27           Pavarde27        8    8    9    8    3    0    
Vardas28           Pavarde28        1    4    5    6    1    8    
Vardas29           Pavarde29        6    0    7    8    4    5    
Vardas30           Pavarde30        10   8    6    6    2    8    
Vardas31           Pavarde31        6    2    4    3    2    6    
Vardas32           Pavarde32        10   4    10   9    8    0    
Vardas33           Pavarde33        2    1    5    9    1    3    
Vardas34           Pavarde34        7    6    6    6    0    2    
Vardas35           Pavarde35        9    6    4    3    1    9    
Vardas36           Pavarde36        9    3    9    3    9    2    
Vardas37           Pavarde37        0    8    1    1    7    1    
Vardas38           Pavarde38        4    1    10   7    5    7    
Vardas39           Pavarde39        2    4    8    10   3    6    
Vardas40           Pavarde40        1    0    4    1    5    5    
Vardas41           Pavarde41        9    5    1    0    9    8    
Vardas42           Pavarde42        0    8    5    8    3    8    
Vardas43           Pavarde43        9    10   5    8    8    5    
Vardas44           Pavarde44        2    5    9    4    2    10   
Vardas45           Pavarde45        7    6    5    3    1    1    
Vardas46           Pavarde46        2    10   4    9    9    4    
Vardas47           Pavarde47        5    0    6    2    2    2    
Vardas48           Pavarde48        7    5    0    2    2    8    
Vardas49           Pavarde49        3    1    7    6    0    0    
